사업자번호,최종BM점수,최종BM등급,핵심파트너최종점수 ,핵심파트너등급 ,핵심파트너점수,핵심활동최종점수,핵심활동등급,핵심활동점수  ,핵심자원 최종 점수,핵심자원등급 ,핵심자원점수 ,가치제안최종점수,가치제안등급,가치제안점수,마케팅채널최종점수,마케팅채널등급,마케팅채널점수,고객관계최종점수,고객관계등급,고객관계점수,비용구조최종점수,비용구조 등급,비용구조 점수,수익구조최종점수,수익구조 등급,수익구조 점수,고객관계최종점수,고객관계등급
2191,57,C,1,E,5,,C,10,,A,10,,A,3,,D,6,,B,7,,B,3,,D,12,,A
2192,47,C,1,E,5,,C,12,,A,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2193,45,C,2,D,2,,E,2,,D,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2194,71,B,1,E,5,,C,10,,A,20,,A,8,,A,5,,C,7,,B,4,,C,12,,A
2195,68,B,1,E,6,,B,10,,A,15,,A,8,,A,6,,B,7,,B,7,,B,8,,A
2196,65,B,1,E,6,,B,7,,B,20,,A,3,,D,6,,B,4,,C,4,,C,12,,A
2197,41,C,1,E,2,,E,10,,A,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2198,63,B,1,E,5,,C,5,,C,10,,A,6,,B,6,,B,7,,B,7,,B,16,,A
2199,52,C,1,E,5,,C,7,,B,10,,A,3,,D,6,,B,4,,C,3,,D,12,,A
2200,69,B,1,E,6,,B,10,,A,15,,A,8,,A,5,,C,6,,C,7,,B,12,,A
2201,43,C,1,E,2,,E,2,,D,10,,A,8,,A,5,,C,7,,B,4,,C,4,,C
2202,63,B,1,E,6,,B,7,,B,15,,A,6,,B,5,,C,7,,B,7,,B,8,,A
2203,60,B,1,E,5,,C,2,,D,15,,A,6,,B,5,,C,6,,C,4,,C,16,,A
2204,73,B,1,E,6,,B,10,,A,15,,A,6,,B,6,,B,7,,B,6,,C,16,,A
2205,58,C,1,E,6,,B,2,,D,20,,A,5,,C,6,,B,7,,B,6,,C,4,,C
2206,64,B,1,E,6,,B,7,,B,25,,A,5,,C,3,,D,4,,C,4,,C,8,,A
2207,55,C,1,E,2,,E,10,,A,10,,A,6,,B,3,,D,6,,C,6,,C,12,,A
2208,58,C,1,E,5,,C,7,,B,20,,A,3,,D,3,,D,4,,C,3,,D,12,,A
2209,50,C,1,E,6,,B,2,,D,10,,A,6,,B,6,,B,4,,C,1,,E,12,,A
2210,52,C,1,E,8,,A,7,,B,10,,A,3,,D,5,,C,1,,E,4,,C,12,,A
2211,90,A,3,D,8,,A,10,,A,25,,A,5,,C,8,,A,7,,B,4,,C,20,,A
1820,92,A,5,C,8,,A,12,,A,20,,A,8,,A,8,,A,7,,B,4,,C,20,,A
2212,78,B,5,C,6,,B,7,,B,15,,A,8,,A,6,,B,7,,B,3,,D,20,,A
2213,70,B,4,C,8,,A,7,,B,25,,A,5,,C,5,,C,6,,C,3,,D,8,,A
2214,68,B,3,D,6,,B,7,,B,25,,A,5,,C,6,,B,6,,C,1,,E,8,,A
2215,64,B,3,D,6,,B,12,,A,20,,A,8,,A,5,,C,3,,D,3,,D,4,,C
2216,65,B,5,C,5,,C,7,,B,15,,A,8,,A,2,,E,7,,B,4,,C,12,,A
2217,69,B,2,D,6,,B,7,,B,15,,A,6,,B,5,,C,7,,B,4,,C,16,,A
2218,46,C,3,D,2,,E,2,,D,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2219,68,B,5,C,5,,C,7,,B,20,,A,3,,D,5,,C,3,,D,4,,C,16,,A
2220,81,A,5,C,6,,B,10,,A,20,,A,6,,B,6,,B,6,,C,6,,C,16,,A
2221,80,B,3,D,6,,B,7,,B,20,,A,8,,A,6,,B,7,,B,6,,C,16,,A
2222,58,C,3,D,6,,B,7,,B,5,,C,6,,B,6,,B,7,,B,4,,C,12,,A
2223,62,B,3,D,5,,C,7,,B,15,,A,6,,B,8,,A,4,,C,6,,C,8,,A
2224,69,B,3,D,2,,E,12,,A,20,,A,8,,A,6,,B,4,,C,6,,C,8,,A
2225,71,B,3,D,6,,B,10,,A,25,,A,5,,C,8,,A,6,,C,4,,C,4,,C
2226,84,A,2,D,6,,B,7,,B,25,,A,6,,B,8,,A,6,,C,7,,B,16,,A
2227,54,C,3,D,6,,B,10,,A,15,,A,3,,D,5,,C,4,,C,4,,C,4,,C
2228,67,B,5,C,5,,C,10,,A,15,,A,8,,A,6,,B,6,,C,4,,C,8,,A
2229,63,B,4,C,5,,C,7,,B,25,,A,5,,C,5,,C,6,,C,3,,D,4,,C
2230,52,C,3,D,5,,C,10,,A,10,,A,3,,D,5,,C,4,,C,4,,C,8,,A
2231,63,B,3,D,5,,C,7,,B,20,,A,3,,D,5,,C,6,,C,3,,D,12,,A
2232,50,C,4,C,6,,B,7,,B,10,,A,5,,C,5,,C,6,,C,3,,D,4,,C
2233,53,C,3,D,2,,E,2,,D,20,,A,3,,D,8,,A,7,,B,4,,C,4,,C
2234,73,B,4,C,5,,C,7,,B,20,,A,3,,D,8,,A,6,,C,4,,C,16,,A
2235,66,B,2,D,5,,C,10,,A,20,,A,5,,C,3,,D,7,,B,7,,B,8,,A
2236,67,B,5,C,5,,C,7,,B,20,,A,6,,B,3,,D,3,,D,6,,C,12,,A
2237,73,B,3,D,5,,C,10,,A,20,,A,5,,C,8,,A,7,,B,4,,C,12,,A
2238,38,D,4,C,2,,E,2,,D,10,,A,3,,D,5,,C,4,,C,4,,C,4,,C
2239,73,B,4,C,5,,C,10,,A,20,,A,6,,B,5,,C,6,,C,6,,C,12,,A
171,51,C,4,C,5,,C,2,,D,20,,A,3,,D,3,,D,4,,C,1,,E,8,,A
2240,68,B,5,C,5,,C,10,,A,20,,A,6,,B,2,,E,7,,B,1,,E,12,,A
2241,67,B,5,C,5,,C,7,,B,15,,A,6,,B,8,,A,6,,C,3,,D,12,,A
2242,68,B,4,C,5,,C,7,,B,10,,A,8,,A,8,,A,7,,B,7,,B,12,,A
2243,64,B,2,D,6,,B,7,,B,20,,A,5,,C,3,,D,1,,E,3,,D,16,,A
2244,45,C,5,C,3,,D,2,,D,15,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2245,44,C,3,D,2,,E,2,,D,15,,A,3,,D,6,,B,4,,C,4,,C,4,,C
2246,68,B,3,D,5,,C,7,,B,15,,A,3,,D,6,,B,7,,B,6,,C,16,,A
2247,53,C,2,D,2,,E,12,,A,15,,A,3,,D,6,,B,4,,C,4,,C,4,,C
2248,69,B,3,D,6,,B,7,,B,15,,A,8,,A,5,,C,7,,B,6,,C,12,,A
2249,39,D,4,C,2,,E,2,,D,15,,A,3,,D,2,,E,1,,E,1,,E,8,,A
2250,72,B,2,D,5,,C,10,,A,20,,A,3,,D,8,,A,6,,C,7,,B,12,,A
2251,74,B,4,C,5,,C,10,,A,20,,A,3,,D,8,,A,3,,D,6,,C,16,,A
2252,61,B,2,D,3,,D,7,,B,15,,A,6,,B,6,,B,6,,C,3,,D,12,,A
2253,58,C,4,C,3,,D,7,,B,15,,A,6,,B,2,,E,4,,C,4,,C,12,,A
2254,76,B,4,C,5,,C,10,,A,20,,A,6,,B,8,,A,6,,C,6,,C,12,,A
2255,67,B,3,D,2,,E,2,,D,25,,A,3,,D,6,,B,4,,C,6,,C,16,,A
2256,55,C,1,E,5,,C,10,,A,15,,A,3,,D,6,,B,6,,C,6,,C,4,,C
2257,73,B,5,C,8,,A,10,,A,20,,A,6,,B,5,,C,4,,C,3,,D,12,,A
2258,67,B,5,C,5,,C,5,,C,20,,A,6,,B,5,,C,4,,C,1,,E,16,,A
2259,82,A,4,C,6,,B,7,,B,20,,A,8,,A,5,,C,7,,B,4,,C,20,,A
2260,76,B,5,C,5,,C,12,,A,10,,A,6,,B,6,,B,7,,B,4,,C,20,,A
2261,83,A,5,C,8,,A,12,,A,15,,A,8,,A,8,,A,3,,D,4,,C,20,,A
2262,71,B,5,C,6,,B,7,,B,15,,A,5,,C,6,,B,6,,C,4,,C,16,,A
2263,71,B,3,D,3,,D,10,,A,10,,A,8,,A,6,,B,7,,B,4,,C,20,,A
2264,62,B,5,C,5,,C,7,,B,15,,A,6,,B,2,,E,3,,D,3,,D,16,,A
2265,69,B,5,C,6,,B,10,,A,15,,A,5,,C,5,,C,6,,C,1,,E,16,,A
2266,70,B,4,C,6,,B,10,,A,10,,A,8,,A,6,,B,6,,C,4,,C,16,,A
2267,71,B,3,D,5,,C,10,,A,20,,A,5,,C,8,,A,6,,C,3,,D,12,,A
2268,70,B,5,C,3,,D,7,,B,25,,A,5,,C,8,,A,7,,B,1,,E,8,,A
2269,66,B,3,D,6,,B,7,,B,20,,A,5,,C,5,,C,1,,E,3,,D,16,,A
2270,77,B,5,C,6,,B,10,,A,20,,A,8,,A,6,,B,4,,C,6,,C,12,,A
2271,63,B,3,D,3,,D,5,,C,20,,A,5,,C,2,,E,1,,E,4,,C,20,,A
2272,50,C,2,D,5,,C,7,,B,10,,A,5,,C,5,,C,6,,C,3,,D,8,,A
2273,67,B,4,C,3,,D,10,,A,20,,A,5,,C,8,,A,6,,C,4,,C,8,,A
2274,77,B,5,C,6,,B,10,,A,20,,A,5,,C,6,,B,6,,C,3,,D,16,,A
2275,74,B,4,C,5,,C,7,,B,20,,A,6,,B,5,,C,6,,C,1,,E,20,,A
2276,68,B,5,C,6,,B,7,,B,15,,A,6,,B,6,,B,3,,D,3,,D,16,,A
2277,60,B,4,C,5,,C,5,,C,15,,A,5,,C,5,,C,7,,B,3,,D,12,,A
2278,45,C,1,E,8,,A,2,,D,15,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2279,66,B,1,E,5,,C,5,,C,20,,A,6,,B,6,,B,3,,D,4,,C,16,,A
2280,67,B,1,E,6,,B,7,,B,15,,A,5,,C,6,,B,7,,B,7,,B,12,,A
2281,73,B,1,E,6,,B,5,,C,25,,A,6,,B,5,,C,7,,B,6,,C,12,,A
2282,40,C,1,E,6,,B,2,,D,10,,A,3,,D,5,,C,4,,C,4,,C,4,,C
2283,65,B,1,E,6,,B,10,,A,10,,A,6,,B,5,,C,4,,C,7,,B,16,,A
2284,74,B,1,E,8,,A,12,,A,10,,A,8,,A,8,,A,7,,B,4,,C,16,,A
2285,59,C,1,E,5,,C,12,,A,10,,A,6,,B,5,,C,6,,C,3,,D,12,,A
2286,67,B,1,E,8,,A,10,,A,10,,A,8,,A,5,,C,6,,C,4,,C,16,,A
2287,52,C,1,E,3,,D,7,,B,10,,A,3,,D,5,,C,3,,D,4,,C,16,,A
2288,61,B,1,E,6,,B,10,,A,20,,A,3,,D,2,,E,4,,C,3,,D,12,,A
2289,73,B,1,E,6,,B,10,,A,20,,A,3,,D,8,,A,3,,D,6,,C,16,,A
2290,72,B,1,E,6,,B,10,,A,20,,A,5,,C,5,,C,6,,C,4,,C,16,,A
2291,66,B,1,E,5,,C,10,,A,20,,A,6,,B,6,,B,1,,E,4,,C,12,,A
2292,52,C,1,E,2,,E,2,,D,20,,A,6,,B,3,,D,1,,E,4,,C,12,,A
2293,57,C,1,E,5,,C,7,,B,10,,A,5,,C,3,,D,7,,B,3,,D,16,,A
2294,34,D,1,E,2,,E,2,,D,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2295,34,D,1,E,2,,E,2,,D,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2296,69,B,1,E,3,,D,10,,A,25,,A,6,,B,6,,B,3,,D,3,,D,12,,A
2297,51,C,1,E,6,,B,7,,B,20,,A,2,,E,2,,E,1,,E,4,,C,8,,A
2298,61,B,1,E,5,,C,10,,A,10,,A,3,,D,6,,B,6,,C,4,,C,16,,A
2299,51,C,1,E,8,,A,7,,B,10,,A,8,,A,5,,C,4,,C,4,,C,4,,C
2300,70,B,2,D,6,,B,12,,A,10,,A,3,,D,6,,B,6,,C,4,,C,20,,A
2301,77,B,4,C,8,,A,10,,A,15,,A,8,,A,5,,C,7,,B,4,,C,16,,A
2302,84,A,4,C,8,,A,12,,A,20,,A,8,,A,5,,C,7,,B,4,,C,16,,A
2303,67,B,4,C,6,,B,10,,A,10,,A,6,,B,3,,D,6,,C,6,,C,16,,A
2304,64,B,2,D,5,,C,7,,B,15,,A,6,,B,8,,A,1,,E,3,,D,16,,A
2305,56,C,4,C,5,,C,7,,B,10,,A,5,,C,6,,B,4,,C,3,,D,12,,A
2306,69,B,5,C,6,,B,7,,B,10,,A,8,,A,6,,B,6,,C,4,,C,16,,A
2307,77,B,5,C,5,,C,7,,B,20,,A,8,,A,8,,A,4,,C,4,,C,16,,A
2308,74,B,5,C,6,,B,5,,C,20,,A,6,,B,8,,A,4,,C,3,,D,16,,A
2309,70,B,4,C,6,,B,7,,B,20,,A,5,,C,5,,C,6,,C,1,,E,16,,A
2310,75,B,5,C,6,,B,10,,A,20,,A,6,,B,6,,B,1,,E,4,,C,16,,A
2311,67,B,4,C,6,,B,10,,A,15,,A,2,,E,3,,D,7,,B,4,,C,16,,A
2312,73,B,3,D,3,,D,10,,A,20,,A,8,,A,2,,E,7,,B,4,,C,16,,A
2313,65,B,2,D,3,,D,10,,A,20,,A,3,,D,3,,D,1,,E,3,,D,20,,A
2314,65,B,5,C,5,,C,7,,B,10,,A,3,,D,8,,A,6,,C,6,,C,16,,A
2315,71,B,5,C,5,,C,7,,B,15,,A,8,,A,5,,C,7,,B,3,,D,16,,A
2316,54,C,5,C,3,,D,7,,B,15,,A,5,,C,5,,C,3,,D,3,,D,8,,A
2317,73,B,5,C,6,,B,5,,C,20,,A,5,,C,8,,A,6,,C,3,,D,16,,A
2318,67,B,5,C,3,,D,5,,C,20,,A,5,,C,6,,B,4,,C,3,,D,16,,A
596,56,C,5,C,5,,C,5,,C,10,,A,5,,C,8,,A,6,,C,1,,E,12,,A
2319,74,B,5,C,6,,B,5,,C,25,,A,5,,C,8,,A,3,,D,1,,E,16,,A
2320,69,B,4,C,5,,C,12,,A,15,,A,8,,A,3,,D,7,,B,3,,D,12,,A
2321,72,B,3,D,6,,B,12,,A,15,,A,3,,D,5,,C,7,,B,4,,C,16,,A
2322,84,A,5,C,8,,A,12,,A,15,,A,6,,B,8,,A,7,,B,3,,D,20,,A
2323,76,B,4,C,5,,C,10,,A,20,,A,8,,A,8,,A,3,,D,3,,D,16,,A
2324,48,C,4,C,5,,C,5,,C,10,,A,3,,D,3,,D,1,,E,4,,C,12,,A
2325,71,B,3,D,6,,B,10,,A,20,,A,3,,D,5,,C,7,,B,1,,E,16,,A
2326,69,B,5,C,5,,C,7,,B,20,,A,5,,C,3,,D,7,,B,1,,E,16,,A
2327,76,B,5,C,5,,C,7,,B,25,,A,6,,B,5,,C,7,,B,4,,C,12,,A
2328,62,B,1,E,5,,C,7,,B,20,,A,6,,B,5,,C,3,,D,3,,D,12,,A
2329,73,B,3,D,8,,A,7,,B,20,,A,6,,B,8,,A,4,,C,4,,C,12,,A
2330,49,C,3,D,2,,E,2,,D,20,,A,6,,B,5,,C,3,,D,4,,C,4,,C
2331,74,B,5,C,6,,B,7,,B,20,,A,3,,D,5,,C,7,,B,4,,C,16,,A
2332,64,B,4,C,2,,E,10,,A,15,,A,3,,D,5,,C,4,,C,6,,C,16,,A
2333,70,B,5,C,6,,B,10,,A,20,,A,6,,B,5,,C,7,,B,3,,D,8,,A
2334,43,C,3,D,5,,C,2,,D,10,,A,2,,E,5,,C,4,,C,4,,C,8,,A
2335,55,C,4,C,2,,E,2,,D,15,,A,6,,B,5,,C,3,,D,6,,C,12,,A
2336,77,B,5,C,6,,B,7,,B,20,,A,8,,A,8,,A,7,,B,7,,B,8,,A
2337,83,A,2,D,6,,B,10,,A,20,,A,8,,A,8,,A,6,,C,7,,B,16,,A
2338,72,B,1,E,6,,B,10,,A,15,,A,5,,C,8,,A,7,,B,4,,C,16,,A
2339,52,C,3,D,2,,E,2,,D,25,,A,3,,D,5,,C,4,,C,4,,C,4,,C
2340,66,B,1,E,5,,C,5,,C,20,,A,6,,B,5,,C,4,,C,4,,C,16,,A
2341,79,B,3,D,5,,C,10,,A,20,,A,8,,A,8,,A,1,,E,4,,C,20,,A
2342,81,A,5,C,6,,B,12,,A,15,,A,6,,B,6,,B,7,,B,3,,D,20,,A
2343,71,B,5,C,8,,A,7,,B,15,,A,5,,C,8,,A,6,,C,1,,E,16,,A
2344,64,B,4,C,6,,B,5,,C,20,,A,3,,D,5,,C,6,,C,3,,D,12,,A
2345,76,B,3,D,6,,B,10,,A,20,,A,6,,B,2,,E,7,,B,6,,C,16,,A
2346,80,A,5,C,6,,B,10,,A,15,,A,6,,B,6,,B,7,,B,4,,C,20,,A
183,87,A,4,C,6,,B,7,,B,25,,A,6,,B,8,,A,7,,B,3,,D,20,,A
2347,72,B,5,C,6,,B,7,,B,20,,A,6,,B,6,,B,6,,C,3,,D,12,,A
2348,71,B,3,D,8,,A,2,,D,25,,A,3,,D,6,,B,3,,D,4,,C,16,,A
2349,63,B,5,C,5,,C,7,,B,10,,A,6,,B,8,,A,3,,D,3,,D,16,,A
2350,77,B,4,C,6,,B,7,,B,20,,A,8,,A,8,,A,7,,B,4,,C,12,,A
2351,65,B,3,D,6,,B,10,,A,10,,A,6,,B,5,,C,6,,C,3,,D,16,,A
2352,72,B,5,C,5,,C,10,,A,20,,A,3,,D,8,,A,7,,B,3,,D,12,,A
2353,69,B,3,D,5,,C,10,,A,15,,A,3,,D,8,,A,4,,C,6,,C,16,,A
2354,68,B,3,D,5,,C,10,,A,20,,A,5,,C,6,,B,7,,B,4,,C,8,,A
2355,79,B,4,C,6,,B,10,,A,20,,A,5,,C,5,,C,7,,B,3,,D,20,,A
2356,60,B,3,D,5,,C,7,,B,10,,A,6,,B,3,,D,7,,B,3,,D,16,,A
2357,84,A,5,C,6,,B,12,,A,15,,A,6,,B,6,,B,7,,B,6,,C,20,,A
2358,41,C,3,D,2,,E,2,,D,15,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2359,81,A,3,D,6,,B,12,,A,20,,A,6,,B,6,,B,6,,C,6,,C,16,,A
2360,52,C,3,D,2,,E,2,,D,25,,A,3,,D,5,,C,3,,D,6,,C,4,,C
2361,61,B,5,C,5,,C,7,,B,20,,A,3,,D,5,,C,6,,C,3,,D,8,,A
2362,69,B,4,C,5,,C,10,,A,15,,A,6,,B,6,,B,7,,B,4,,C,12,,A
2363,60,B,5,C,5,,C,2,,D,20,,A,5,,C,2,,E,7,,B,3,,D,12,,A
2364,59,C,3,D,6,,B,7,,B,10,,A,6,,B,8,,A,6,,C,4,,C,8,,A
2365,65,B,4,C,8,,A,10,,A,10,,A,3,,D,5,,C,7,,B,3,,D,16,,A
2366,77,B,5,C,6,,B,10,,A,20,,A,5,,C,5,,C,7,,B,7,,B,12,,A
2367,66,B,5,C,5,,C,7,,B,15,,A,5,,C,5,,C,7,,B,6,,C,12,,A
2368,63,B,3,D,6,,B,7,,B,15,,A,5,,C,5,,C,3,,D,3,,D,16,,A
2369,77,B,4,C,5,,C,7,,B,20,,A,5,,C,5,,C,7,,B,4,,C,20,,A
2370,79,B,3,D,6,,B,12,,A,20,,A,6,,B,8,,A,7,,B,4,,C,12,,A
2371,66,B,1,E,5,,C,5,,C,20,,A,6,,B,3,,D,7,,B,7,,B,12,,A
2372,46,C,1,E,5,,C,7,,B,10,,A,5,,C,5,,C,1,,E,4,,C,8,,A
2373,67,B,1,E,5,,C,7,,B,20,,A,6,,B,3,,D,4,,C,4,,C,16,,A
2374,47,C,1,E,5,,C,7,,B,15,,A,3,,D,2,,E,6,,C,4,,C,4,,C
2375,66,B,1,E,8,,A,5,,C,10,,A,8,,A,8,,A,6,,C,4,,C,16,,A
2376,64,B,1,E,6,,B,7,,B,15,,A,8,,A,3,,D,4,,C,3,,D,16,,A
2377,44,C,1,E,2,,E,2,,D,20,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2378,50,C,1,E,2,,E,7,,B,20,,A,3,,D,5,,C,7,,B,1,,E,4,,C
2379,63,B,1,E,2,,E,5,,C,15,,A,8,,A,8,,A,3,,D,6,,C,16,,A
2380,65,B,1,E,6,,B,5,,C,15,,A,6,,B,8,,A,4,,C,7,,B,12,,A
2381,59,C,1,E,5,,C,5,,C,15,,A,3,,D,8,,A,6,,C,4,,C,12,,A
2382,56,C,1,E,5,,C,10,,A,15,,A,3,,D,5,,C,3,,D,3,,D,12,,A
2383,66,B,1,E,2,,E,10,,A,20,,A,2,,E,5,,C,4,,C,7,,B,16,,A
2384,65,B,1,E,6,,B,10,,A,10,,A,6,,B,5,,C,7,,B,4,,C,16,,A
2385,77,B,1,E,6,,B,10,,A,20,,A,5,,C,6,,B,6,,C,7,,B,16,,A
2386,61,B,1,E,8,,A,7,,B,10,,A,8,,A,8,,A,4,,C,3,,D,12,,A
2387,46,C,1,E,6,,B,10,,A,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2388,55,C,1,E,5,,C,10,,A,10,,A,3,,D,5,,C,3,,D,3,,D,16,,A
2389,66,B,1,E,8,,A,10,,A,10,,A,6,,B,6,,B,7,,B,6,,C,12,,A
2390,45,C,1,E,5,,C,2,,D,10,,A,2,,E,5,,C,3,,D,6,,C,12,,A
2391,34,D,1,E,2,,E,2,,D,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2392,34,D,1,E,2,,E,2,,D,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
